n643 n761,SATISFIED,XX0XXXX1XXX0X0X11XXXXX0XXXXXXXXX11X0110011X11X00111110XXXXXXXXX10XXXXXXXXXXXXXX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0X0XXXXXXXX0X0XXXXXXXX0;
n484 n618,SATISFIED,XXXX0XXXXXX0XXX0XXXX1XXX1XXXXXX1XXXXXXXXXXX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX10XXXX0XXXXX00XXX0XXXXX00XXXX0XXXXX00X1XX0XXXXX0XXXXX0XXX0XXXXXX0XXX0XXXXXX0;
n643 n683,SATISFIED,XX0XX0X0XXX0X0XX0XXX1XXX1XXXX00XX0XX01X000X0XX00XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXX0X0XX0X0XXX0X0XX0X0XXXX0X0XX0X0X0X10XX0X0XX0XXX0X0XX0X0XXX0X0XX0X0XXX0;
n487 n647,SATISFIED,XX0XX0X0X100X0000XXX1XXX1XXXXXXXXXXXXXXX00X00X000XX11XXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXXXXX0XX00XXXXXX0XX00XXXXXXXX0X00X1X11XXX0X0X0XX00X0XX0X0XX00X0XX0X0XX00;
n484 n590,SATISFIED,XXXXXXXXXXX0X1XXXXXX1XXX1XXXXXX0XXXXXXXXXXXXXXXX0XX11XXXXXXXXXXXXXXXXXXXXXXXXXXXX10XXXX0XXXXX00XXX0XXXXX00XXXX0XXXXX00X1XX0XXXXX0XXXXX01XXXXXXXXX0XXXXXXXXXX0;
n601 n645,SATISFIED,XXXXX0X0X100X1XX0XXXXXXX1XXXXXX0XXXXXXXX00X0XX100XX11XXXXXXXXXXXXXXXXXXXXXXXXXXXX1XXXX0XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXXXXXX0XX001XXX0X0XX00XXXX0X0XX00;
n647 n661,SATISFIED,XX0XX0X0X100X0010XXXXXXXXXXXXXXXXXXXXXXX00X10X000XX11XXXXXXXXXXXXXXX0X101X0000XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XX00X0XX0X0XX00X0XX0X0XX00;
n487 n605,SATISFIED,XXXXXXXXXXX0XXXXXXXX0XXX1XXXXXX1XXXXXXX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX10X0X01XX0XX00X0XXXX0XX00X0X0XXXX0X00X0X0XXXX0X0XXXXX0XXXXXXXXXX0XXXXXXXXXX0;
n702 n709,SATISFIED,XXXXXXXXXXXXXXXXXXXX1XXX1XXXX11X11111111XXXXX1XXXXXXXXXX1XXXXXXXX111XXXXXXXXXXXXXX0XXXXXX001000XXXXX001000XXXXXX010000X11111X0000XXXXXXXXXXXXXXXXXXXXXXXXXXXX;
n590 n703,SATISFIED,XXXXXXXXXXX0X1XXXXXXXXX1XXXXX11011111111XXXXX1XX0XX11XXX1XXXXXXXX111XXXXXXXXXXXXX1XXXXXXXXX1XXXXXXXXXX1XXXXXXXXXX1XXXXXXXXXXXXXXXXXXXX01XXXXXXXXX0XXXXXXXXXX0;
n615 n661,SATISFIED,XXXXXXXXXXX0XXXX1XXXXXXXXXXXXXX1XXXXXXXX11X11X111XX11XXXXXXXXXXXXXXX1X111X1111XXX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXXXXXXXX0XXXXXXXXXX0;
n601 n615,SATISFIED,XXXXXXXXXXX0X1XXXXXXXXXX1XXXXXX0XXXXXXXXXXXXXXXXXXX11XXXXXXXXXXXXXXXXXXXXXXXXXXXX1XXXX0XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXXXXXXXXXX01XXXXXXXXX0XXXXXXXXXX0;
n605 n683,CONFLICT,NA;
n748 n749,SATISFIED,XXX0X000X000X10100XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX11XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0X000XX0X000X000XX0X000X000;
n744 n761,SATISFIED,XXXXXX00XX10XXX1X0XXXX0XXXXXXXXX11X0110011X11X00111110XXXXXXXXX10XXXXXXXXXXXXXX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXX0XXXXX00XXX0XXXXX00XXX0;
n585 n749,SATISFIED,XXX0XX00X010X10110XXXXXXXXXXXXX1X1XXXXXXXXXXXXXXXXX11XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00XXXXXXXXX00XXXXXXXXXX00XXXXXXXXXX0X0XXXX0X0X0XX0XX00X0X0XX0XX00X0X0;
n709 n740,SATISFIED,XXXX0XX0XXX0XXX0XXXX1XXX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXXXX00X000XXXXX00X000XXXXXX0X0000X11111X0000X0XXX0XXX0XX0XXX0XXX0XX0XXX0;
n643 n708,SATISFIED,XX0XX0X0XXX0X0XX0XXX0XXX1XXXXXXXXXXXXXXX00X0XX00XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0X1101XX0X000XXXXXX0X000XXX0XXXX0000XXX0XXXX000X0XXX0X0XX0X0XXX0X0XX0X0XXX0;
n615 n758,SATISFIED,XXXXXXXXXXX0XXXX1XXXXXXXXXXXX001XXXXXXXXX1XXXXXXXXX11X00X110010XXXXXXXXXXXXXXXXXX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXXXXXXXX0XXXXXXXXXX0;
n485 n758,SATISFIED,XXXXXXXXXXXXXXXXXXXX0XXX1XXXX00XXXXXXXXXXXXXXXXXXXXXXX00X110010XXXXXXXXXXXXXXXXXXX0X1X01XXXXX00XXXXXXXXX00XXX0XXXXXX00XXX0XXXXXX0XXXXXXXXXXXXXXXXXXXXXXXXXXXX;
n490 n585,SATISFIED,XXXXXXXXXXXXXXXXXXXX11XX1XX1XXX1X1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXXX0X0X000XXXX0X0X000XXXXX0XX0000X11110X0000XXXXXXXXXXXXXXXXXXXXXXXXXXXX;
n601 n759,SATISFIED,XXXXXXXXXXX0X1XXXXXXXXXX1XXXXXX011X0110011X11X0011111XXXXXXXXXX10XXXXXXXXXXXXXXXX1XXXX0XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXXXXXXXXXX01XXXXXXXXX0XXXXXXXXXX0;
n705 n709,SATISFIED,XXXXXXXXXXXXXXXXXXXX1XX01XXXX00X00111111XXXXXXXXXXXXXXXXXXXXXXXXX111XXXXXXXXXXXXXX0XXXXXX00X000XXXXX00X000XXXXXX0X0000X11111X0000XXXXXXXXXXXXXXXXXXXXXXXXXXXX;
n619 n679,SATISFIED,XXXXXXXXXXX0XXXX1XXX1XXX1XXXX0X1X0XXX1X0X1X1XXXXXXX11XXXXXXXXXXXXXXXXXXXXXXXXXXXX10XXXXXX0XXXX0XXXXX0XXXX0XXXXXX0XXXX0X0X1XXX0XXXXXXXX0XXXXXXXXXX0XXXXXXXXXX0;
