n484,SATISFIED,XXXXXXXXXXXXXXXXXXXX1XXX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXX0XXXXX00XXX0XXXXX00XXXX0XXXXX00X1XX0XXXXX0XXXXXXXXXXXXXXXXXXXXXXXXXXXX;
n485,SATISFIED,XXXXXXXXXXXXXXXXXXXX0XXX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0X1X01XXXXX00XXXXXXXXX00XXX0XXXXXX00XXX0XXXXXX0XXXXXXXXXXXXXXXXXXXXXXXXXXXX;
n487,SATISFIED,XXXXXXXXXXXXXXXXXXXX1XXX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXXXXX0XX00XXXXXX0XX00XXXXXXXX0X00X1X11XXX0X0XXXXXXXXXXXXXXXXXXXXXXXXXXXX;
n708,SATISFIED,XXXXXXXXXXXXXXXXXXXX0XXX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0X1101XX0X000XXXXXX0X000XXX0XXXX0000XXX0XXXX000XXXXXXXXXXXXXXXXXXXXXXXXXXXX;
n489,SATISFIED,XXXXXXXXXXXXXXXXXXXX01XX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0X1101XX0X000XXXXXX0X000XXX0XXXX0000XXX0XXXX000XXXXXXXXXXXXXXXXXXXXXXXXXXXX;
n490,SATISFIED,XXXXXXXXXXXXXXXXXXXX11XX1XX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXXXXX0X000XXXXXX0X000XXXXXXXX0000X1111XXX000XXXXXXXXXXXXXXXXXXXXXXXXXXXX;
n601,SATISFIED,XXXXXXXXXXX0X1XXXXXXXXXX1XXXXXX0XXXXXXXXXXXXXXXXXXX11XXXXXXXXXXXXXXXXXXXXXXXXXXXX1XXXX0XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXXXXXXXXXX01XXXXXXXXX0XXXXXXXXXX0;
n561,SATISFIED,XXXXXXXXXXX0X1XXXXXXXXXXXXXXXXX0XXXXXXXXX1X1XXXXXXX11XXXXXXXXXXXXXXXXXXXXXXXXXXXX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXXXXXXXX0XXXXXXXXXX0;
n585,SATISFIED,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX1X1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00XXXXXXXXX00XXXXXXXXXX00XXXXXXXXXX0X0XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;
n583,SATISFIED,XXXXXXXXXXX0X1XXXXXXXXXXXXXXXXX0XXXXXXXXXXXXXXX0XXX11XXXXXXXXXXXXXXXXXXXXXXXXXXXX1XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXXXXX0XXXXXXXXXX0;
